iter	Passed	Remaining
401	10507	15630
402	10532	15602
403	10555	15571
404	10581	15546
405	10599	15507
406	10617	15469
407	10638	15436
408	10658	15400
409	10679	15367
410	10697	15330
411	10718	15297
412	10741	15266
413	10761	15233
414	10785	15203
415	10805	15169
416	10828	15138
417	10847	15104
418	10869	15072
419	10892	15041
420	10912	15007
421	10933	14974
422	10955	14944
423	10973	14908
424	10995	14876
425	11021	14850
426	11042	14817
427	11063	14785
428	11084	14754
429	11110	14727
430	11130	14693
431	11152	14662
432	11176	14634
433	11196	14602
434	11214	14566
435	11234	14533
436	11256	14502
437	11278	14471
438	11304	14445
439	11334	14425
440	11362	14402
441	11383	14371
442	11412	14349
443	11431	14314
444	11453	14284
445	11477	14256
446	11497	14224
447	11517	14191
448	11538	14159
449	11557	14125
450	11578	14094
451	11602	14067
452	11629	14042
453	11651	14012
454	11671	13980
455	11690	13946
456	11711	13914
457	11734	13886
458	11755	13856
459	11777	13825
460	11796	13792
461	11817	13761
462	11844	13738
463	11874	13717
464	11894	13685
465	11919	13658
466	11940	13628
467	11960	13596
468	11981	13565
469	12001	13533
470	12022	13503
471	12044	13473
472	12068	13446
473	12087	13414
474	12112	13387
475	12133	13357
476	12155	13327
477	12179	13300
478	12209	13280
479	12240	13260
480	12260	13229
481	12283	13201
482	12304	13170
483	12325	13140
484	12345	13109
485	12373	13086
486	12399	13061
487	12419	13030
488	12441	13001
489	12461	12969
490	12483	12941
491	12507	12914
492	12529	12884
493	12547	12852
494	12606	12861
495	12717	12922
496	12786	12940
497	12853	12957
498	12900	12952
499	12945	12945
500	12969	12917
501	12993	12889
502	13014	12858
503	13036	12829
504	13063	12804
505	13085	12775
506	13106	12744
507	13127	12713
508	13146	12681
509	13167	12651
510	13193	12625
511	13212	12593
512	13237	12566
513	13258	12535
514	13278	12505
515	13305	12479
516	13326	12450
517	13348	12420
518	13371	12392
519	13392	12362
520	13419	12337
521	13440	12307
522	13469	12284
523	13494	12258
524	13517	12230
525	13539	12201
526	13559	12170
527	13580	12139
528	13602	12111
529	13627	12084
530	13647	12053
531	13669	12024
532	13691	11995
533	13713	11967
534	13739	11941
535	13758	11910
536	13780	11881
537	13804	11854
538	13827	11826
539	13850	11798
540	13872	11769
541	13892	11739
542	13918	11714
543	13942	11686
544	13968	11661
545	13990	11632
546	14013	11605
547	14034	11576
548	14055	11546
549	14082	11521
550	14099	11489
551	14120	11459
552	14139	11428
553	14161	11400
554	14180	11370
555	14198	11338
556	14222	11311
557	14248	11286
558	14268	11256
559	14290	11228
560	14310	11198
561	14329	11167
562	14351	11139
563	14374	11111
564	14396	11084
565	14416	11054
566	14451	11035
567	14489	11019
568	14515	10995
569	14531	10962
570	14548	10930
571	14570	10902
572	14588	10871
573	14631	10859
574	14717	10877
575	14742	10852
576	14759	10820
577	14779	10790
578	14845	10794
579	14893	10784
580	14942	10776
581	14966	10748
582	15007	10734
583	15051	10721
584	15114	10722
585	15222	10754
586	15285	10754
587	15319	10734
588	15350	10711
589	15375	10684
590	15402	10659
591	15428	10633
592	15455	10607
593	15482	10582
594	15509	10556
595	15541	10534
596	15579	10516
597	15617	10499
598	15653	10479
599	15688	10459
600	15753	10458
601	15821	10460
602	15972	10515
603	16217	10632
604	16335	10665
605	16427	10680
606	16473	10665
607	16534	10660
608	16608	10663
609	16683	10666
610	16790	10690
611	16861	10690
612	16923	10684
613	16962	10663
614	16989	10635
615	17021	10610
616	17052	10585
617	17081	10558
618	17110	10531
619	17135	10502
620	17155	10469
621	17208	10458
622	17243	10434
623	17276	10410
624	17302	10381
625	17320	10348
626	17334	10312
627	17349	10277
628	17363	10241
629	17379	10206
630	17395	10172
631	17420	10143
632	17448	10116
633	17475	10088
634	17517	10068
635	17534	10035
636	17553	10003
637	17577	9973
638	17597	9941
639	17624	9913
640	17643	9881
641	17665	9850
642	17683	9818
643	17698	9783
644	17713	9749
645	17729	9715
646	17746	9682
647	17760	9647
648	17773	9612
649	17790	9579
650	17809	9547
651	17826	9514
652	17844	9482
653	17861	9449
654	17876	9415
655	17893	9383
656	17909	9350
657	17925	9316
658	17946	9286
659	17963	9253
660	17982	9222
661	17995	9188
662	18012	9155
663	18025	9121
664	18038	9087
665	18052	9053
666	18066	9019
667	18078	8985
668	18093	8952
669	18106	8918
670	18119	8884
671	18133	8850
672	18146	8817
673	18158	8782
674	18173	8750
675	18189	8717
676	18203	8684
677	18217	8652
678	18235	8621
679	18252	8589
680	18268	8557
681	18283	8525
682	18300	8493
683	18314	8461
684	18332	8430
685	18349	8399
686	18370	8369
687	18389	8339
688	18406	8308
689	18420	8276
690	18436	8244
691	18450	8212
692	18466	8180
693	18482	8149
694	18497	8117
695	18510	8085
696	18527	8054
697	18542	8022
698	18554	7989
699	18569	7958
700	18582	7926
701	18595	7893
702	18610	7862
703	18623	7830
704	18635	7797
705	18649	7766
706	18663	7734
707	18681	7704
708	18696	7673
709	18710	7642
710	18724	7611
711	18743	7581
712	18764	7553
713	18781	7523
714	18797	7492
715	18811	7461
716	18827	7431
717	18843	7400
718	18861	7371
719	18881	7342
720	18900	7313
721	18916	7283
722	18934	7254
723	18956	7226
724	18996	7205
725	19073	7198
726	19109	7175
727	19132	7148
728	19151	7119
729	19168	7089
730	19188	7061
731	19210	7033
732	19228	7004
733	19249	6975
734	19263	6945
735	19278	6915
736	19293	6884
737	19309	6855
738	19323	6824
739	19338	6794
740	19353	6764
741	19369	6734
742	19390	6706
743	19422	6683
744	19452	6658
745	19475	6631
746	19500	6604
747	19522	6577
748	19559	6554
749	19576	6525
750	19595	6496
751	19617	6469
752	19635	6440
753	19651	6411
754	19678	6385
755	19699	6358
756	19717	6329
757	19734	6300
758	19751	6271
759	19769	6242
760	19786	6214
761	19804	6185
762	19824	6157
763	19839	6128
764	19853	6098
765	19868	6069
766	19883	6040
767	19898	6011
768	19914	5982
769	19929	5952
770	19944	5923
771	19960	5895
772	19978	5867
773	19995	5838
774	20015	5810
775	20033	5782
776	20049	5754
777	20070	5727
778	20089	5699
779	20108	5671
780	20134	5646
781	20150	5617
782	20167	5589
783	20186	5561
784	20208	5534
785	20226	5506
786	20243	5478
787	20261	5451
788	20282	5423
789	20298	5395
790	20316	5368
791	20332	5339
792	20349	5311
793	20365	5283
794	20382	5255
795	20397	5227
796	20417	5200
797	20434	5172
798	20449	5144
799	20463	5115
800	20479	5087
801	20493	5059
802	20509	5031
803	20526	5004
804	20542	4976
805	20560	4948
806	20579	4921
807	20594	4893
808	20610	4865
809	20626	4838
810	20642	4810
811	20659	4783
812	20672	4755
813	20689	4727
814	20705	4699
815	20721	4672
816	20735	4644
817	20753	4617
818	20771	4590
819	20787	4563
820	20804	4535
821	20825	4509
822	20842	4482
823	20859	4455
824	20875	4428
825	20891	4400
826	20908	4373
827	20926	4346
828	20943	4319
829	20959	4292
830	20974	4265
831	20994	4239
832	21011	4212
833	21028	4185
834	21046	4158
835	21063	4132
836	21079	4105
837	21094	4077
838	21115	4052
839	21133	4025
840	21147	3998
841	21164	3971
842	21177	3944
843	21193	3917
844	21208	3890
845	21222	3863
846	21239	3836
847	21254	3809
848	21276	3784
849	21293	3757
850	21310	3731
851	21327	3704
852	21345	3678
853	21362	3652
854	21379	3625
855	21396	3599
856	21415	3573
857	21432	3547
858	21448	3520
859	21465	3494
860	21481	3468
861	21498	3441
862	21515	3415
863	21531	3389
864	21546	3362
865	21565	3336
866	21580	3310
867	21595	3284
868	21614	3258
869	21635	3232
870	21658	3207
871	21695	3184
872	21726	3160
873	21748	3135
874	21773	3110
875	21797	3085
876	21816	3059
877	21837	3034
878	21855	3008
879	21869	2982
880	21885	2956
881	21899	2929
882	21915	2903
883	21931	2877
884	21945	2851
885	21959	2825
886	21975	2799
887	21995	2774
888	22009	2748
889	22024	2722
890	22042	2696
891	22057	2670
892	22074	2644
893	22090	2619
894	22106	2593
895	22162	2572
896	22221	2551
897	22287	2531
898	22337	2509
899	22365	2485
900	22391	2460
901	22431	2437
902	22493	2416
903	22566	2396
904	22613	2373
905	22643	2349
906	22666	2324
907	22700	2300
908	22764	2278
909	22850	2259
910	22920	2239
911	22993	2218
912	23017	2193
913	23064	2170
914	23078	2143
915	23091	2117
916	23105	2091
917	23118	2065
918	23132	2038
919	23147	2012
920	23162	1986
921	23178	1960
922	23193	1934
923	23209	1909
924	23223	1883
925	23239	1857
926	23254	1831
927	23275	1805
928	23299	1780
929	23327	1755
930	23358	1731
931	23375	1705
932	23413	1681
933	23433	1655
934	23446	1629
935	23461	1604
936	23477	1578
937	23494	1552
938	23513	1527
939	23528	1501
940	23542	1476
941	23556	1450
942	23573	1424
943	23589	1399
944	23603	1373
945	23623	1348
946	23640	1323
947	23656	1297
948	23675	1272
949	23692	1246
950	23719	1222
951	23736	1196
952	23750	1171
953	23765	1145
954	23778	1120
955	23792	1095
956	23807	1069
957	23823	1044
958	23847	1019
959	23864	994
960	23882	969
961	23904	944
962	23942	919
963	23972	895
964	23998	870
965	24016	845
966	24033	820
967	24050	795
968	24065	769
969	24079	744
970	24094	719
971	24106	694
972	24119	669
973	24135	644
974	24149	619
975	24166	594
976	24180	569
977	24194	544
978	24208	519
979	24223	494
980	24244	469
981	24261	444
982	24284	419
983	24311	395
984	24335	370
985	24351	345
986	24369	320
987	24393	296
988	24417	271
989	24440	246
990	24456	222
991	24469	197
992	24481	172
993	24497	147
994	24512	123
995	24526	98
996	24540	73
997	24554	49
998	24568	24
999	24587	0
